robID	color	count
27	4278255360	573

27	4278255615	1034

27	4294901760	861

28	4278190335	930

28	4278255360	924

28	4278255615	1137

28	4294901760	519

29	4278190335	1242

29	4278255360	636

29	4278255615	523

29	4294901760	1109

30	4278190335	1318

30	4278255360	704

30	4278255615	476

30	4294901760	1012

31	4278190335	838

31	4278255360	930

31	4278255615	762

31	4294901760	980

32	4278190335	967

32	4278255360	910

32	4278255615	417

32	4294901760	1216

33	4278190335	959

33	4278255360	533

33	4278255615	911

33	4294901760	1107

34	4278190335	745

34	4278255360	855

34	4278255615	1011

34	4294901760	899

35	4278190335	1044

35	4278255360	702

35	4278255615	808

35	4294901760	956

36	4278190335	1055

36	4278255360	820

36	4278255615	780

36	4294901760	855

37	4278190335	1075

37	4278255360	852

37	4278255615	809

37	4294901760	774

38	4278190335	1079

38	4278255360	845

38	4278255615	916

38	4294901760	670

39	4278190335	905

39	4278255360	634

39	4278255615	822

39	4294901760	1149

40	4278190335	1200

40	4278255360	734

40	4278255615	492

40	4294901760	1084

41	4278190335	1026

41	4278255360	423

41	4278255615	1174

41	4294901760	887

42	4278190335	1515

42	4278255360	779

42	4278255615	788

42	4294901760	428

43	4278190335	1084

43	4278255360	824

43	4278255615	787

43	4294901760	815

44	4278190335	805

44	4278255360	571

44	4278255615	1014

44	4294901760	1120

45	4278190335	562

45	4278255360	468

45	4278255615	1053

45	4294901760	1427

46	4278190335	662

46	4278255360	675

46	4278255615	1005

46	4294901760	1168

47	4278190335	1022

47	4278255360	1044

47	4278255615	716

47	4294901760	728

48	4278190335	993

48	4278255360	837

48	4278255615	738

48	4294901760	942

49	4278190335	1169

49	4278255360	1138

49	4278255615	572

49	4294901760	631

50	4278190335	723

50	4278255360	813

50	4278255615	964

50	4294901760	1010

51	4278190335	1637

51	4278255360	451

51	4278255615	716

51	4294901760	706

52	4278190335	926

52	4278255360	1179

52	4278255615	804

52	4294901760	601

53	4278190335	1112

53	4278255360	983

53	4278255615	513

53	4294901760	902

54	4278190335	1200

54	4278255360	548

54	4278255615	934

54	4294901760	828

55	4278190335	558

55	4278255360	1021

55	4278255615	416

55	4294901760	1515

56	4278190335	1021

56	4278255360	784

56	4278255615	965

56	4294901760	740

57	4278190335	944

57	4278255360	1221

57	4278255615	546

57	4294901760	799

58	4278190335	798

58	4278255360	1005

58	4278255615	1071

58	4294901760	636

59	4278190335	847

59	4278255360	1410

59	4278255615	281

59	4294901760	972

60	4278190335	699

60	4278255360	1040

60	4278255615	990

60	4294901760	781

61	4278190335	1121

61	4278255360	706

61	4278255615	828

61	4294901760	855

62	4278190335	668

62	4278255360	1259

62	4278255615	738

62	4294901760	845

63	4278190335	905

63	4278255360	921

63	4278255615	954

63	4294901760	730

64	4278190335	961

64	4278255360	732

64	4278255615	883

64	4294901760	934

65	4278190335	602

65	4278255360	737

65	4278255615	1336

65	4294901760	835

66	4278190335	531

66	4278255360	970

66	4278255615	1179

66	4294901760	830

67	4278190335	1232

67	4278255360	690

67	4278255615	585

67	4294901760	1003

68	4278190335	835

68	4278255360	816

68	4278255615	726

68	4294901760	1133

69	4278190335	1283

69	4278255360	886

69	4278255615	578

69	4294901760	763

70	4278190335	1284

70	4278255360	844

70	4278255615	546

70	4294901760	836

71	4278190335	751

71	4278255360	828

71	4278255615	848

71	4294901760	1083

72	4278190335	586

72	4278255360	998

72	4278255615	830

72	4294901760	1096

73	4278190335	810

73	4278255360	346

73	4278255615	1518

73	4294901760	836

74	4278190335	667

74	4278255360	1419

74	4278255615	624

74	4294901760	800

75	4278190335	1268

75	4278255360	436

75	4278255615	977

75	4294901760	829

76	4278190335	630

76	4278255360	993

76	4278255615	1161

76	4294901760	726

77	4278190335	1317

77	4278255360	442

77	4278255615	882

77	4294901760	869

78	4278190335	645

78	4278255360	683

78	4278255615	1170

78	4294901760	1012

79	4278190335	760

79	4278255360	997

79	4278255615	834

79	4294901760	919

80	4278190335	721

80	4278255360	793

80	4278255615	965

80	4294901760	1031

81	4278190335	1139

81	4278255360	912

81	4278255615	1146

81	4294901760	313

82	4278190335	879

82	4278255360	507

82	4278255615	1153

82	4294901760	971

83	4278190335	980

83	4278255360	725

83	4278255615	749

83	4294901760	1056

84	4278190335	705

84	4278255360	1446

84	4278255615	634

84	4294901760	725

85	4278190335	885

85	4278255360	870

85	4278255615	828

85	4294901760	927

86	4278190335	335

86	4278255360	1295

86	4278255615	920

86	4294901760	960

87	4278190335	1080

87	4278255360	744

87	4278255615	1004

87	4294901760	682

88	4278190335	748

88	4278255360	1071

88	4278255615	935

88	4294901760	756

89	4278190335	1015

89	4278255360	1122

89	4278255615	225

89	4294901760	1148

90	4278190335	768

90	4278255360	943

90	4278255615	855

90	4294901760	944

91	4278190335	1393

91	4278255360	1015

91	4278255615	676

91	4294901760	426

92	4278190335	289

92	4278255360	939

92	4278255615	1028

92	4294901760	1254

93	4278190335	753

93	4278255360	535

93	4278255615	1214

93	4294901760	1008

94	4278190335	474

94	4278255360	1229

94	4278255615	1232

94	4294901760	575

95	4278190335	484

95	4278255360	1116

95	4278255615	830

95	4294901760	1080

96	4278190335	1095

96	4278255360	860

96	4278255615	447

96	4294901760	1108

97	4278190335	780

97	4278255360	1164

97	4278255615	746

97	4294901760	820

98	4278190335	840

98	4278255360	1048

98	4278255615	852

98	4294901760	770

99	4278190335	1120

99	4278255360	593

99	4278255615	1244

99	4294901760	553

